conf,ts,HC1,HC2,,consumer_no,Uncertainties
65043_775437_configuration.json,59,289.204718,289.204718,,106,9
65043_775439_configuration.json,45,388.305049,387.3970805,,116,8
65046_78243_configuration.json,59,110.5263113,110.5263113,,28,5
65046_78750_configuration.json,57,264.5035951,264.5035951,,54,7
65046_78754_configuration.json,59,275.1423116,275.1423116,,80,9
65046_82752_configuration.json,45,385.0240858,385.0240858,,108,9
65046_82774_configuration.json,45,351.0086268,350.0722565,,93,6
65049_2366486_configuration.json,59,104.1951815,104.1951815,,15,3
65049_2366490_configuration.json,59,104.8269248,104.8269248,,16,4
65049_2366492_configuration.json,59,106.4833795,106.4833795,,18,4
65049_2366494_configuration.json,59,104.752081,104.752081,,18,3
65049_2366496_configuration.json,59,0,0,,0,1
65049_2366498_configuration.json,59,0,0,,0,1
65049_775467_configuration.json,45,386.7451446,386.1260299,,89,7
65052_1405056_configuration.json,45,284.0013339,266.9201731,,76,5
65052_1405061_configuration.json,45,385.5944977,384.6684412,,74,7
65052_1405063_configuration.json,59,275.9890092,275.9890092,,76,7
65052_1405067_configuration.json,45,386.2544592,342.180004,,88,9
65052_1405069_configuration.json,57,264.730116,264.730116,,68,7
65052_1405071_configuration.json,59,0,0,,0,1
65052_1405075_configuration.json,45,392.3919005,392.3919005,,123,9
65052_1405081_configuration.json,59,290.788979,290.788979,,101,8
65068_80411_configuration.json,45,390.1765154,389.312663,,85,7
65068_80419_configuration.json,56,193.007071,193.007071,,44,8
65068_80425_configuration.json,59,270.8133744,270.8133744,,65,4
65068_80427_configuration.json,59,216.2136832,216.2136832,,35,6
65068_80431_configuration.json,45,358.0551607,336.7798702,,98,9
65068_80433_configuration.json,45,390.7578864,390.7578864,,141,9
65068_80436_configuration.json,59,210.6989454,210.6989454,,28,6
65068_80444_configuration.json,57,269.7427257,269.0865132,,63,6
65068_80447_configuration.json,45,315.4348452,315.4348452,,62,8
65076_75317_configuration.json,57,188.9544664,188.9544664,,98,9
65076_75319_configuration.json,56,125.4669593,125.4669593,,25,7
65076_75329_configuration.json,59,182.3009633,182.3009633,,51,7
65076_75333_configuration.json,59,-1,-1,,1,2
65076_75337_configuration.json,59,30.00000029,30.00000029,,2,2
65076_75339_configuration.json,59,196.595274,196.595274,,73,6
65079_1738338_configuration.json,59,162.0362685,162.0362685,,13,6
65079_2035824_configuration.json,59,15.00000015,15.00000015,,1,2
65079_77889_configuration.json,59,142.9368389,142.9368389,,20,6
65079_77893_configuration.json,59,15.00000015,15.00000015,,1,2
65079_77895_configuration.json,57,177.8455752,177.8455752,,44,9
65079_77899_configuration.json,59,15.00000015,15.00000015,,1,2
65079_77921_configuration.json,59,173.3599028,173.3599028,,28,8
65079_77940_configuration.json,45,-1,-1,,149,10
65082_80172_configuration.json,57,274.8614134,274.8614134,,86,7
65082_80175_configuration.json,45,369.9641571,369.8020488,,56,5
65082_80178_configuration.json,57,181.4614717,181.4614717,,81,7
65082_80180_configuration.json,59,-1,-1,,44,4
65082_80182_configuration.json,59,86.82260954,86.82260954,,17,6
65082_80184_configuration.json,44,-1,-1,,176,9
65082_80188_configuration.json,57,276.8069088,276.8069088,,96,8
86315_785378_configuration.json,59,216.5073966,216.5073966,,31,6
86315_785381_configuration.json,44,-1,-1,,220,10
86315_785383_configuration.json,57,206.3309065,205.6214203,,22,8
86315_785386_configuration.json,59,106.2086415,106.2086415,,12,4
86315_785393_configuration.json,59,210.6538695,210.6538695,,25,8
86315_785396_configuration.json,59,233.7809521,233.7809521,,26,5
